
-----BALL SHOOTS-----
(1.7, -4.1, 0.0)	88822936	Velocity:	(-30.8, 27.5, 0.0)
(-1.8, -4.1, 0.0)	313543465	Velocity:	(-2.5, 17.9, 0.0)

-----OBJECT POSITIONS-----
corner:	(5.3, -2.7, 0.0)	88830795
triangle:	(5.3, -1.3, 0.0)	88830795
bucket:	(5.3, 1.9, 0.0)	88830795
gear:	(5.3, 0.2, 0.0)	88830795
crate:	(5.3, 3.3, 0.0)	88830795
corner:	(5.3, -2.7, 0.0)	313543922
triangle:	(-2.7, -2.1, 0.0)	313543922
bucket:	(5.3, 1.9, 0.0)	313543922
gear:	(5.3, 0.2, 0.0)	313543922
crate:	(-1.1, -2.2, 0.0)	313543922
