
-----BALL SHOOTS-----
(-3.9, -4.1, 0.0)	84135670	Velocity:	(19.9, 12.8, 0.0)
(-1.9, -4.1, 0.0)	321711939	Velocity:	(-10.4, 21.6, 0.0)

-----OBJECT POSITIONS-----
corner:	(5.0, -2.0, 0.0)	84147481
triangle:	(5.0, -0.7, 0.0)	84147481
bucket:	(5.0, 2.1, 0.0)	84147481
gear:	(5.0, 0.6, 0.0)	84147481
crate:	(5.0, 3.5, 0.0)	84147481
corner:	(5.0, -2.0, 0.0)	321712288
triangle:	(5.0, -0.7, 0.0)	321712288
bucket:	(5.0, 2.1, 0.0)	321712288
gear:	(5.0, 0.6, 0.0)	321712288
crate:	(-3.3, -0.1, 0.0)	321712288
