-----START-----

-----BALL SHOOTS-----
(-4.4, -4.1, 0.0)	85460871	Velocity:	(26.7, 11.6, 0.0)
(1.1, -4.1, 0.0)	232676614	Velocity:	(-14.7, 13.2, 0.0)

-----OBJECT POSITIONS-----
corner:	(5.0, -2.0, 0.0)	85468629
crate:	(5.0, 0.6, 0.0)	85468629
bucket:	(5.0, 2.1, 0.0)	85468629
triangle:	(5.0, -0.7, 0.0)	85468629
crate:	(5.0, 3.5, 0.0)	85468629
corner:	(5.0, -2.0, 0.0)	232676902
crate:	(5.0, 0.6, 0.0)	232676902
bucket:	(5.0, 2.1, 0.0)	232676902
triangle:	(5.0, -0.7, 0.0)	232676902
crate:	(5.0, 3.5, 0.0)	232676902
-----END-----
