
-----BALL SHOOTS-----
(-3.6, -4.1, 0.0)	113737462	Velocity:	(15.7, 14.4, 0.0)
(-0.3, -4.1, 0.0)	237959757	Velocity:	(-31.0, 17.0, 0.0)

-----OBJECT POSITIONS-----
corner:	(5.0, -2.0, 0.0)	113758820
triangle:	(-0.7, -0.5, 0.0)	113758820
bucket:	(5.0, 2.1, 0.0)	113758820
gear:	(5.0, 0.6, 0.0)	113758820
crate:	(-3.5, 2.1, 0.0)	113758820
corner:	(5.0, -2.0, 0.0)	237959849
triangle:	(-0.7, -0.5, 0.0)	237959849
bucket:	(5.0, 2.1, 0.0)	237959849
gear:	(5.0, 0.6, 0.0)	237959849
crate:	(-3.5, 2.1, 0.0)	237959849
